Altium Designer Pick and Place Locations
D:\EE\BMS\BSU\Documents\BSU-Gerber\Pick Place for BSU.csv

========================================================================================================================
File Design Information:

Date:       23/01/24
Time:       15:20
Revision:   8410d753c935477811da1067914176d371dc9eec
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R5","20k","TopLayer","0805_SMD_R","51.0000","88.9500","90","0805 SMD Resistor"
"R4","100","TopLayer","2010_SMD_R","175.0000","78.5000","270","2010 SMD Resistor"
"R3","200","TopLayer","2010_SMD_R","180.0000","81.0000","180","2010 SMD Resistor"
"R2","100","TopLayer","2010_SMD_R","219.0000","78.5000","270","2010 SMD Resistor"
"R1","200","TopLayer","2010_SMD_R","224.0000","81.0000","180","2010 SMD Resistor"
"Q4","ZXTN4004KTC","TopLayer","TO252-3_ZXTN4004K","195.0000","76.1750","90","Transistor"
"Q2","ZXTN4004KTC","TopLayer","TO252-3_ZXTN4004K","233.0000","76.1750","90","Transistor"
"Q3","ZXTN4004KTC","TopLayer","TO252-3_ZXTN4004K","188.0000","76.1750","90","Transistor"
"Q1","ZXTN4004KTC","TopLayer","TO252-3_ZXTN4004K","240.0000","76.1750","90","Transistor"
"PS2","PDSE1-S24-S5-M","TopLayer","PDSE1-Sxx-Sx-M","69.1900","42.0000","90","CUI Inc., DC-DC ISOLATED, 5VDC input, 1 W, 4.5-5.5 VDC"
"PS1","VXO7805-1000","TopLayer","VXO78xx-1000","62.5400","95.0000","0","CUI Inc.,1 A Output Current, 6~36 Vdc Input, 3 Pin SIP, Non-Isolated, Dc-Dc Converter"
"OPA1","OPA2192IDGKT","TopLayer","VSSOP8_OPA2192","109.6620","45.5000","90","36-V, Precision, RRIO, Low Offset Voltage, Low Input Bias Current Op Amp With e-trim"
"NTC3","NTCS0805E3104JXT","BottomLayer","0805_SMD_R","63.5000","81.5000","0","NTC Thermistors 100Kohms 5% SMD"
"NTC2","NTCS0805E3104JXT","TopLayer","0805_SMD_R","4.0000","40.0000","90","NTC Thermistors 100Kohms 5% SMD"
"NTC1","NTCS0805E3104JXT","TopLayer","0805_SMD_R","4.0000","35.0000","270","NTC Thermistors 100Kohms 5% SMD"
"LED6","RED","TopLayer","0805_SMD_LED","52.5000","76.6500","270","SMD LED"
"LED5","GREEN","TopLayer","0805_SMD_LED","49.5000","76.5500","270","SMD LED"
"LED4","RED","TopLayer","0805_SMD_LED","46.5000","76.5500","270","SMD LED"
"LED3","RED","TopLayer","0805_SMD_LED","80.3900","41.9000","90","SMD LED"
"LED2","RED","TopLayer","0805_SMD_LED","73.5000","88.9500","270","SMD LED"
"LED1","RED","TopLayer","0805_SMD_LED","53.5000","88.9500","270","SMD LED"
"LDO2","TLV75533PDBVR","TopLayer","SOT23-5_TLV75533","86.3500","45.4500","0","LDO Voltage Regulators 500-mA, Low IQ, Small Size, Low Dropout Regulator 5-SOT-23 -40 to 125"
"LDO1","TLV75533PDBVR","TopLayer","SOT23-5_TLV75533","63.7500","81.5500","0","LDO Voltage Regulators 500-mA, Low IQ, Small Size, Low Dropout Regulator 5-SOT-23 -40 to 125"
"J15","Header 1x5","TopLayer","HDR_1X5_2.54_THD","60.0000","9.3650","90","Header 1x5"
"J14","Header 1x5","TopLayer","HDR_1X5_2.54_THD","60.0000","24.3650","90","Header 1x5"
"J12","Header 1x3","TopLayer","HDR_1X3_2.54_THD","29.0000","77.5400","90","Pin Header 2.54mm Pitch STR DIP, 1x3Pin, G/F, LCP, 8.08mm*2.54mm*3.18mm, Color-Black, Bag"
"J11","Header 1x3","TopLayer","HDR_1X3_2.54_THD","26.0000","77.5400","90","Pin Header 2.54mm Pitch STR DIP, 1x3Pin, G/F, LCP, 8.08mm*2.54mm*3.18mm, Color-Black, Bag"
"J10","Header 1x3","TopLayer","HDR_1X3_2.54_THD","23.0000","77.5400","90","Pin Header 2.54mm Pitch STR DIP, 1x3Pin, G/F, LCP, 8.08mm*2.54mm*3.18mm, Color-Black, Bag"
"J5","Header 1x3","TopLayer","HDR_1X3_2.54_THD","19.0000","77.5400","90","Pin Header 2.54mm Pitch STR DIP, 1x3Pin, G/F, LCP, 8.08mm*2.54mm*3.18mm, Color-Black, Bag"
"J4","Header 1x3","TopLayer","HDR_1X3_2.54_THD","15.0000","77.5400","90","Pin Header 2.54mm Pitch STR DIP, 1x3Pin, G/F, LCP, 8.08mm*2.54mm*3.18mm, Color-Black, Bag"
"J3","1318384-2","TopLayer","TH025_40P","199.1000","15.7000","270","TE Connectivity TH 025 Series, 2 Row 40 Way Through Hole Socket Automotive Header Connector, Automotive wiring"
"J2","1318745-2","TopLayer","TH025_32P","109.6000","15.7000","270","TE CONNECTIVITY - 1318745-2 - Automotive Connector, TH 025 Series, Right Angle Plug, 32 Contacts, Crimp Pin"
"J1","Header 1x2","TopLayer","HDR_1X2_2.54_THD","34.2300","97.0000","180","Header, 2-Pin"
"F33","C1Q_1","BottomLayer","1206_C1Q","185.9000","23.9000","90","T&R"
"F32","C1Q_1","TopLayer","1206_C1Q","187.0000","23.9000","90","T&R"
"F31","C1Q_1","BottomLayer","1206_C1Q","188.1000","23.9000","90","T&R"
"F30","C1Q_1","TopLayer","1206_C1Q","189.2000","23.9000","90","T&R"
"F29","C1Q_1","BottomLayer","1206_C1Q","190.3000","23.9000","90","T&R"
"F28","C1Q_1","TopLayer","1206_C1Q","191.4000","23.9000","90","T&R"
"F27","C1Q_1","BottomLayer","1206_C1Q","192.5000","23.9000","90","T&R"
"F26","C1Q_1","TopLayer","1206_C1Q","193.6000","23.9000","90","T&R"
"F25","C1Q_1","BottomLayer","1206_C1Q","194.7000","23.9000","90","T&R"
"F24","C1Q_1","TopLayer","1206_C1Q","195.8000","23.9000","90","T&R"
"F23","C1Q_1","BottomLayer","1206_C1Q","196.9000","23.9000","90","T&R"
"F22","C1Q_1","TopLayer","1206_C1Q","198.0000","23.9000","90","T&R"
"F21","C1Q_1","BottomLayer","1206_C1Q","199.1000","23.9000","90","T&R"
"F20","C1Q_1","TopLayer","1206_C1Q","200.2000","23.9000","90","T&R"
"F19","C1Q_1","BottomLayer","1206_C1Q","201.3000","23.9000","90","T&R"
"F18","C1Q_1","TopLayer","1206_C1Q","202.4000","23.9000","90","T&R"
"F17","C1Q_1","BottomLayer","1206_C1Q","203.5000","23.9000","90","T&R"
"F16","C1Q_1","TopLayer","1206_C1Q","204.6000","23.9000","90","T&R"
"F15","C1Q_1","BottomLayer","1206_C1Q","205.7000","23.9000","90","T&R"
"F14","C1Q_1","TopLayer","1206_C1Q","206.8000","23.9000","90","T&R"
"F13","C1Q_1","BottomLayer","1206_C1Q","207.9000","23.9000","90","T&R"
"F12","C1Q_1","TopLayer","1206_C1Q","209.0000","23.9000","90","T&R"
"F11","C1Q_1","BottomLayer","1206_C1Q","210.1000","23.9000","90","T&R"
"F10","C1Q_1","TopLayer","1206_C1Q","211.2000","23.9000","90","T&R"
"F9","C1Q_1","BottomLayer","1206_C1Q","212.3000","23.9000","90","T&R"
"F8","C1Q_1","TopLayer","1206_C1Q","213.4000","23.9000","90","T&R"
"F7","C1Q_1","BottomLayer","1206_C1Q","214.5000","23.9000","90","T&R"
"F6","C1Q_1","TopLayer","1206_C1Q","215.6000","23.9000","90","T&R"
"F5","C1Q_1","BottomLayer","1206_C1Q","216.7000","23.9000","90","T&R"
"F4","C1Q_1","TopLayer","1206_C1Q","217.8000","23.9000","90","T&R"
"F3","C1Q_1","BottomLayer","1206_C1Q","218.9000","23.9000","90","T&R"
"F2","C1Q_1","TopLayer","1206_C1Q","220.0000","23.9000","90","T&R"
"F1","C1Q_1","BottomLayer","1206_C1Q","221.1000","23.9000","90","T&R"
"D1","824500241","TopLayer","SMA_824500241","43.1500","97.0000","180","TVS Diode (Uni-directional)"
"C64","150p","TopLayer","0805_SMD_C","51.0000","61.5000","90","0805 SMD Capacitor"
"C63","150p","TopLayer","0805_SMD_C","43.5000","10.0000","270","0805 SMD Capacitor"
"C62","150p","TopLayer","0805_SMD_C","41.0000","10.0000","270","0805 SMD Capacitor"
"C61","150p","TopLayer","0603_SMD_C","94.5000","36.5000","0","0603 SMD Capacitor"
"C60","150p","TopLayer","0603_SMD_C","94.5000","33.5000","0","0603 SMD Capacitor"
"C59","150p","TopLayer","0603_SMD_C","99.5000","29.0000","180","0603 SMD Capacitor"
"C58","150p","TopLayer","0603_SMD_C","99.5000","32.1000","180","0603 SMD Capacitor"
"C57","150p","TopLayer","0603_SMD_C","102.5000","33.5000","0","0603 SMD Capacitor"
"C56","150p","TopLayer","0603_SMD_C","102.5000","30.5000","0","0603 SMD Capacitor"
"C55","150p","TopLayer","0603_SMD_C","108.0000","31.5000","180","0603 SMD Capacitor"
"C54","150p","TopLayer","0603_SMD_C","108.0000","34.5000","180","0603 SMD Capacitor"
"C53","150p","TopLayer","0603_SMD_C","111.0000","36.5000","0","0603 SMD Capacitor"
"C52","150p","TopLayer","0603_SMD_C","111.0000","34.0000","0","0603 SMD Capacitor"
"C51","150p","TopLayer","0603_SMD_C","117.0000","29.0000","180","0603 SMD Capacitor"
"C50","150p","TopLayer","0603_SMD_C","117.0000","32.0000","180","0603 SMD Capacitor"
"C49","150p","TopLayer","0603_SMD_C","120.0000","33.5000","0","0603 SMD Capacitor"
"C48","150p","TopLayer","0603_SMD_C","120.0000","30.5000","0","0603 SMD Capacitor"
"C47","150p","TopLayer","0603_SMD_C","126.0000","31.0000","180","0603 SMD Capacitor"
"C46","150p","TopLayer","0603_SMD_C","126.0000","34.0000","180","0603 SMD Capacitor"
"C45","150p","TopLayer","0805_SMD_C","98.0000","45.0000","180","0805 SMD Capacitor"
"C44","150p","TopLayer","0805_SMD_C","115.5000","47.0000","0","0805 SMD Capacitor"
"C43","10u","TopLayer","0805_SMD_C","109.5577","48.0058","180","0805 SMD Capacitor"
"C42","10u","TopLayer","0805_SMD_C","94.5000","42.0000","270","0805 SMD Capacitor"
"C41","10u","TopLayer","0805_SMD_C","112.0000","41.8000","270","0805 SMD Capacitor"
"C40","22u","TopLayer","0805_SMD_C","91.5000","35.7000","90","0805 SMD Capacitor"
"C39","1u","TopLayer","0805_SMD_C","81.6000","37.0000","270","0805 SMD Capacitor"
"C38","1u","TopLayer","0805_SMD_C","108.5000","38.5000","270","0805 SMD Capacitor"
"C37","1u","TopLayer","0805_SMD_C","126.0620","38.5000","270","0805 SMD Capacitor"
"C36","1u","TopLayer","0805_SMD_C","94.5000","39.0000","270","0805 SMD Capacitor"
"C35","1u","TopLayer","0805_SMD_C","112.0000","38.8000","270","0805 SMD Capacitor"
"C34","1u","TopLayer","0805_SMD_C","101.5620","43.5000","180","0805 SMD Capacitor"
"C33","1u","TopLayer","0805_SMD_C","119.2620","43.5000","180","0805 SMD Capacitor"
"C32","100n","TopLayer","0805_SMD_C","67.0000","31.5000","180","0805 SMD Capacitor"
"C31","100n","TopLayer","0805_SMD_C","74.0000","31.5000","0","0805 SMD Capacitor"
"C30","100n","TopLayer","0805_SMD_C","7.5000","59.0000","0","0805 SMD Capacitor"
"C29","100n","TopLayer","0805_SMD_C","33.5000","58.0000","90","0805 SMD Capacitor"
"C28","100n","TopLayer","0805_SMD_C","74.0000","16.5000","0","0805 SMD Capacitor"
"C27","100n","TopLayer","0805_SMD_C","67.0000","16.5000","180","0805 SMD Capacitor"
"C26","100n","TopLayer","0805_SMD_C","138.0000","63.0000","0","0805 SMD Capacitor"
"C25","100n","TopLayer","0805_SMD_C","130.0000","63.0000","180","0805 SMD Capacitor"
"C24","1u","TopLayer","0805_SMD_C","89.5000","45.5000","90","0805 SMD Capacitor"
"C23","1u","TopLayer","0805_SMD_C","83.0000","45.5000","90","0805 SMD Capacitor"
"C22","10u","TopLayer","0805_SMD_C","77.5000","42.0000","90","0805 SMD Capacitor"
"C21","1u","TopLayer","0805_SMD_C","61.0000","42.0000","90","0805 SMD Capacitor"
"C20","1u","TopLayer","0805_SMD_C","67.0000","81.5000","90","0805 SMD Capacitor"
"C19","10u","TopLayer","0805_SMD_C","53.2000","94.0000","90","0805 SMD Capacitor"
"C18","1u","TopLayer","0805_SMD_C","60.0000","81.5000","90","0805 SMD Capacitor"
"C17","22u","TopLayer","0805_SMD_C","69.7000","94.0000","90","0805 SMD Capacitor"
"C16","1u","TopLayer","0603_SMD_C","191.3000","57.4000","180","0603 SMD Capacitor"
"C15","1u","TopLayer","0603_SMD_C","235.9000","57.5000","180","0603 SMD Capacitor"
"C14","1u","TopLayer","0603_SMD_C","191.3000","58.7000","180","0603 SMD Capacitor"
"C13","1u","TopLayer","0603_SMD_C","235.9000","58.8000","180","0603 SMD Capacitor"
"C12","0.1u","TopLayer","0603_SMD_C","191.3000","61.2000","180","0603 SMD Capacitor"
"C11","0.1u","TopLayer","0603_SMD_C","235.9000","61.8000","180","0603 SMD Capacitor"
"C10","4.7u","TopLayer","0603_SMD_C","191.3000","62.5000","0","0603 SMD Capacitor"
"C9","4.7u","TopLayer","0603_SMD_C","235.9000","63.1000","0","0603 SMD Capacitor"
"C8","0.1u","TopLayer","0603_SMD_C","191.3000","63.8000","180","0603 SMD Capacitor"
"C7","0.1u","TopLayer","0603_SMD_C","235.9000","64.4000","180","0603 SMD Capacitor"
"C6","2.2u","TopLayer","0603_SMD_C","187.3000","66.0000","0","0603 SMD Capacitor"
"C5","2.2u","TopLayer","0603_SMD_C","232.3000","66.5000","0","0603 SMD Capacitor"
"C4","1u","TopLayer","0603_SMD_C","184.8000","68.0000","0","0603 SMD Capacitor"
"C3","1u","TopLayer","0603_SMD_C","230.0000","68.0000","0","0603 SMD Capacitor"
"C2","220n","TopLayer","1210_SMD_C","180.0000","77.0000","180","1210 SMD Capacitor"
"C1","220n","TopLayer","1210_SMD_C","224.0000","77.0000","180","1210 SMD Capacitor"
"BQ2","BQ79616PAPR","TopLayer","HTQFP65_BQ79616","181.1000","60.0000","0","Battery Management 16-S precision battery monitor, balancer and integrated protector with stacking interface"
"BQ1","BQ79616PAPR","TopLayer","HTQFP65_BQ79616","225.9000","60.0000","0","Battery Management 16-S precision battery monitor, balancer and integrated protector with stacking interface"
"ADC2","ADS7951QDBTRQ1","TopLayer","TSSOP30_ADS7951","100.8000","38.5000","0","Automotive 12 bit, 1 MSPS, 8 Channel, Single-Ended, SAR ADC"
"ADC1","ADS7951QDBTRQ1","TopLayer","TSSOP30_ADS7951","118.4000","38.5000","0","Automotive 12 bit, 1 MSPS, 8 Channel, Single-Ended, SAR ADC"
